,Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,Fuel_Type,Transmission,Engine,VIN,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type,Consumer_Rating_binned
783,2022,Honda,CR-V Hybrid EX,Used,32685.0,5.0,5590,Sonic Gray Pearl,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,5J6RT6H53NL012211,230319A,14530.0,4.6,4.9,4.5,4.6,4.8,4.7,FL,Dealer,5
784,2021,Honda,Civic Sport,Used,23990.0,4.9,1385,Gray,–,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H42MU407313,P1767JK1,27723.0,4.6,4.7,4.7,4.6,4.8,4.6,NY,Dealer,4
785,2023,Honda,CR-V EX-L,New,35400.0,4.7,2284,Platinum White Pearl,–,Front-wheel Drive,Gasoline,Automatic CVT,1.5L 4 Cylinder,2HKRS3H71PH300695,PH300695,8.0,5.0,5.0,5.0,4.0,4.0,5.0,FL,Dealer,4
786,2023,Honda,HR-V Sport,New,27290.0,4.7,1853,Platinum White Pearl,–,Front-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC,3CZRZ1H53PM711955,PM711955,1.0,4.0,5.0,4.0,5.0,5.0,5.0,FL,Dealer,4
788,2022,Honda,Pilot EX-L,New,44000.0,4.9,767,Platinum White Pearl,Beige,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H50NB085337,NB085337,5.0,5.0,5.0,5.0,5.0,5.0,5.0,NJ,Dealer,4
789,2023,Honda,Odyssey Elite,New,50915.0,4.9,1600,Lunar Silver Metallic,Mocha,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H94PB029811,PB029811,2.0,5.0,5.0,4.0,4.0,4.0,5.0,NJ,Dealer,4
790,2020,Honda,Odyssey Touring,Used,38815.0,4.9,1600,Pacific Pewter Metallic,Mocha,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H89LB014206,LB014206P,33016.0,4.8,4.8,4.7,4.6,4.7,4.7,NJ,Dealer,4
791,2022,Honda,Passport TrailSport,New,44265.0,5.0,1571,Black,Black,AWD,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H62NB032126,H221349,10.0,5.0,5.0,4.9,5.0,4.9,5.0,NJ,Dealer,5
792,2022,Honda,Ridgeline RTL-E,New,46130.0,5.0,1571,Lunar Silver Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F70NB017402,H22721,11.0,5.0,4.9,4.9,4.3,4.7,5.0,NJ,Dealer,5
793,2022,Honda,Pilot Sport,New,41375.0,4.5,3416,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H31NB104184,227314,5.0,5.0,5.0,5.0,5.0,5.0,5.0,NJ,Dealer,4
796,1997,Honda,Accord EX,Used,11994.0,4.6,20,Green,Gray,Front-wheel Drive,Gasoline,4-Speed Automatic,2.2L I4 16V MPFI SOHC,1HGCE1895VA007391,10889A,81424.0,4.5,4.4,4.4,4.8,4.3,4.8,NY,Dealer,4
798,2021,Honda,Passport Elite,Used,35874.0,5.0,1930,White,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H05MB010812,70592A,27674.0,4.9,4.7,4.8,4.6,4.8,4.8,MA,Dealer,5
799,2017,Honda,Civic EX-L,Used,19998.0,4.4,1494,Aegean Blue Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,19XFC1F78HE209436,LL149782B,14450.0,4.7,4.7,4.8,4.8,4.8,4.8,ME,Dealer,4
800,2022,Honda,Pilot Sport,New,41770.0,4.7,393,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H38NB077713,00821398,407.0,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer,4
801,2022,Honda,Passport EX-L,New,44665.0,4.9,9,Obsidian Blue Pearl,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H55NB024190,00821488,10.0,5.0,5.0,4.9,5.0,4.9,5.0,CA,Dealer,4
802,2023,Honda,Ridgeline RTL,New,43580.0,4.7,306,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F53PB019744,23-189,3.0,5.0,4.8,4.8,4.2,5.0,5.0,CA,Dealer,4
804,2022,Honda,Accord Sport 2.0T,New,35150.0,4.3,471,Sonic Blue,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F38NA023539,NA023539,8.0,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer,4
807,2012,Honda,Civic LX,Used,13995.0,4.5,1,Black,Gray,Front-wheel Drive,Gasoline,5-Speed Automatic,1.8L I4 16V MPFI SOHC,19XFB2F57CE377150,100660,98917.0,4.3,4.3,4.4,4.6,4.5,4.8,CA,Dealer,4
809,2022,Honda,Pilot Special Edition,New,42066.0,4.3,3504,Dark Cherry Pearl,Beige,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H21NB081156,181752,11.0,5.0,5.0,5.0,5.0,5.0,5.0,AZ,Dealer,4
810,2023,Honda,CR-V EX-L,New,35555.0,5.0,1164,Lunar Silver,Black,–,Gasoline,Automatic CVT,1.5L I4,2HKRS3H78PH302296,230350,1.0,5.0,5.0,5.0,4.0,4.0,5.0,AZ,Dealer,5
813,2022,Honda,Pilot EX-L,New,40488.0,4.7,790,Lunar Silver Metallic,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H51NB096282,220196,11.0,5.0,5.0,5.0,5.0,5.0,5.0,WA,Dealer,4
815,2022,Honda,Civic Sport,Honda Certified,26312.0,4.6,251,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,2HGFE2F54NH504291,6504291,23288.0,4.6,4.9,4.4,4.6,4.6,4.7,MT,Dealer,4
816,2023,Honda,CR-V EX-L,New,36899.0,4.7,5,Still Night Pearl,Black,All-wheel Drive,Gasoline,continuously variable automatic,4 Cylinder Engine,2HKRS4H76PH405979,23024,5.0,5.0,5.0,5.0,4.0,4.0,5.0,OK,Dealer,4
817,2023,Honda,HR-V Sport,New,27144.0,4.6,5,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,continuously variable (m cvt),4 Cylinder Engine,3CZRZ1H55PM719216,23020,5.0,4.0,5.0,4.0,5.0,5.0,5.0,OK,Dealer,4
818,2022,Honda,Accord Sport 1.5T,New,30469.0,5.0,5,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,continuously variable,4 Cylinder Engine,1HGCV1F37NA095505,22039,2.0,5.0,5.0,5.0,5.0,5.0,5.0,OK,Dealer,5
819,2022,Honda,Accord Sport 2.0T,New,35149.0,4.8,578,Still Night Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F32NA019695,NA019695,5.0,5.0,5.0,5.0,5.0,5.0,5.0,TX,Dealer,4
820,2019,Honda,Ridgeline RTL-E,Used,32133.0,4.5,171,Green,Black,All-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F74KB021318,PH8468,29540.0,4.9,4.8,4.8,4.6,4.7,4.9,TX,Dealer,4
821,2022,Honda,Pilot Sport,New,40770.0,4.0,228,Gray Pearl,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H34NB090345,PI90345,12.0,5.0,5.0,5.0,5.0,5.0,5.0,KS,Dealer,4
822,2022,Honda,Pilot TrailSport,New,46500.0,4.8,723,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H87NB092540,H092540,5.0,5.0,5.0,5.0,5.0,5.0,5.0,KS,Dealer,4
823,2023,Honda,CR-V EX,New,34750.0,4.7,234,Platinum White Pearl,Gray,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARS4H40PE012908,P0188,2.0,5.0,5.0,5.0,4.0,4.0,5.0,MO,Dealer,4
824,2022,Honda,Pilot EX-L,New,41605.0,4.6,527,Modern Steel Metallic,Black,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H51NB035802,NB035802,5.0,5.0,5.0,5.0,5.0,5.0,5.0,TX,Dealer,4
825,2022,Honda,Odyssey Elite,Used,43893.0,5.0,4154,White,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H92NB049231,PF102739B,21044.0,4.3,4.4,4.3,4.1,4.3,4.3,ND,Dealer,5
826,2022,Honda,Pilot Sport,New,39770.0,5.0,288,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H3XNB039183,39183,5.0,5.0,5.0,5.0,5.0,5.0,5.0,AR,Dealer,5
827,2012,Honda,Crosstour EX-L,Used,15995.0,5.0,2231,Crystal Black Pearl,–,Four-wheel Drive,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI SOHC,5J6TF2H54CL003908,W29066,118637.0,4.8,4.7,4.7,4.6,4.7,4.8,MN,Dealer,5
828,2023,Honda,CR-V Hybrid Sport Touring,New,40240.0,5.0,2231,Urban Gray Pearl,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H96PE002276,230320,0.0,5.0,3.0,4.0,4.0,5.0,5.0,MN,Dealer,5
829,2023,Honda,Ridgeline RTL-E,New,47880.0,5.0,2231,Platinum White Pearl,Beige,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F7XPB007768,230110,0.0,5.0,4.8,4.8,4.2,5.0,5.0,MN,Dealer,5
830,2023,Honda,CR-V EX-L,New,39000.0,4.6,6558,Crystal Black Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H70PH400129,230124,6.0,5.0,5.0,5.0,4.0,4.0,5.0,MN,Dealer,4
831,2022,Honda,Accord Hybrid Sport,New,32560.0,5.0,2352,Platinum White Pearl,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F26NA048128,N5562,1.0,4.9,5.0,5.0,4.9,4.9,5.0,MN,Dealer,5
832,2016,Honda,Odyssey LX,Used,18790.0,5.0,2352,Modern Steel Metallic,Gray,Front-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNRL5H28GB017609,P12991A,99509.0,4.8,4.6,4.7,4.6,4.7,4.8,MN,Dealer,5
834,2022,Honda,Pilot TrailSport,New,46500.0,5.0,2637,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H8XNB102798,N1199,5.0,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer,5
835,2023,Honda,CR-V EX,New,33750.0,4.8,1077,Platinum White Pearl,–,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARS4H4XPE000460,PE000460,20.0,5.0,5.0,5.0,4.0,4.0,5.0,TN,Dealer,4
837,2022,Honda,Pilot TrailSport,New,44674.0,5.0,4272,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H80NB103801,H21211,5.0,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer,5
838,2023,Honda,Odyssey Elite,New,50915.0,4.7,436,Modern Steel Metallic,Nh-797m/Black,Front-wheel Drive,Gasoline,10-SPEED A/T,V6 Cylinder Engine,5FNRL6H97PB032377,V32377,3.0,5.0,5.0,4.0,4.0,4.0,5.0,IL,Dealer,4
839,2022,Honda,Passport Elite,New,47225.0,4.6,1874,Obsidian Blue Pearl,–,AWD,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H05NB028471,NB028471,5.0,5.0,5.0,4.9,5.0,4.9,5.0,IL,Dealer,4
840,2023,Honda,CR-V EX,New,32855.0,3.9,161,Canyon River Blue Metallic,Black,All-wheel Drive,Gasoline,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,7FARS4H46PE011486,62455,1.0,5.0,5.0,5.0,4.0,4.0,5.0,WI,Dealer,3
841,2022,Honda,Passport EX-L,New,41765.0,4.4,1789,Lunar Silver Metallic,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H51NB031539,H28121,4.0,5.0,5.0,4.9,5.0,4.9,5.0,IL,Dealer,4
844,2022,Honda,Pilot Sport,New,41770.0,4.5,1614,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H38NB103873,N11699,3.0,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer,4
845,2021,Honda,Accord Hybrid Touring,Used,34593.0,4.0,333,Radiant Red Metallic,Gray,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F9XMA008923,H25952,28945.0,4.7,4.5,4.5,4.4,4.6,4.4,IN,Dealer,4
846,2023,Honda,HR-V Sport,New,28395.0,4.9,826,Crystal Black Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,3CZRZ2H54PM701618,PM701618,7.0,4.0,5.0,4.0,5.0,5.0,5.0,MI,Dealer,4
847,2023,Honda,CR-V EX-L,New,36505.0,5.0,5005,Blue,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H77PH400208,23074,11.0,5.0,5.0,5.0,4.0,4.0,5.0,IN,Dealer,5
848,2022,Honda,Pilot Special Edition,New,42667.0,5.0,38,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H26NB103491,62998,3.0,5.0,5.0,5.0,5.0,5.0,5.0,IN,Dealer,5
849,2022,Honda,Pilot Sport,New,41770.0,5.0,38,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H36NB103001,62999,3.0,5.0,5.0,5.0,5.0,5.0,5.0,IN,Dealer,5
850,2022,Honda,Accord Hybrid Sport,New,32560.0,5.0,38,Sonic Gray Pearl,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F20NA048030,52000,3.0,4.9,5.0,5.0,4.9,4.9,5.0,IN,Dealer,5
851,2022,Honda,Accord Sport SE,New,31960.0,5.0,1722,Still Night Pearl,Black,FWD,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F40NA109432,NA109432,3.0,5.0,5.0,5.0,5.0,5.0,5.0,TN,Dealer,5
853,2022,Honda,Accord Sport SE,New,30565.0,4.5,1732,Lunar Silver Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F43NA091105,496440,12.0,5.0,5.0,5.0,5.0,5.0,5.0,GA,Dealer,4
854,2019,Honda,Ridgeline RTL,Used,31998.0,4.8,15,Blue,Gray,All-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F57KB042484,23717241,58583.0,4.9,4.8,4.8,4.6,4.7,4.9,TN,Dealer,4
857,2022,Honda,Accord Sport 1.5T,New,30470.0,5.0,306,Sonic Gray Pearl,Blk Fabric W/Synthetic Lt,Front-wheel Drive,Gasoline,CVT,4 Cylinder Engine,1HGCV1F33NA093881,220047,2.0,5.0,5.0,5.0,5.0,5.0,5.0,MI,Dealer,5
858,2022,Honda,Passport TrailSport,New,47165.0,4.8,1028,Crystal Black Pearl,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H61NB028603,NB028603,13.0,5.0,5.0,4.9,5.0,4.9,5.0,OH,Dealer,4
859,2022,Honda,Pilot Special Edition,New,44968.0,4.4,1059,–,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H29NB083463,NB083463,16.0,5.0,5.0,5.0,5.0,5.0,5.0,GA,Dealer,4
860,2023,Honda,CR-V EX-L,New,35005.0,4.8,1152,Crystal Black Pearl,Gray,Front-wheel Drive,Gasoline,Automatic CVT,1.5L 4 Cylinder,2HKRS3H73PH300519,H300519,4.0,5.0,5.0,5.0,4.0,4.0,5.0,GA,Dealer,4
862,2022,Honda,Odyssey Touring,Used,43171.0,4.0,170,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H84NB003262,P33787B,20661.0,4.3,4.4,4.3,4.1,4.3,4.3,OH,Dealer,4
863,2019,Honda,Pilot Touring 8-Passenger,Used,33991.0,5.0,599,Crystal Black Pearl,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H94KB026208,V7646B,35630.0,4.8,4.7,4.7,4.6,4.7,4.8,WV,Dealer,5
864,2022,Honda,Ridgeline RTL-E,Used,41397.0,4.8,1202,Platinum White Pearl,Beige,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F79NB009847,322939A,10413.0,5.0,4.9,4.9,4.3,4.7,5.0,NC,Dealer,4
865,2016,Honda,Civic EX-T,Used,16999.0,5.0,475,Modern Steel Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,19XFC1F33GE015330,PGE015330,97839.0,4.6,4.6,4.6,4.6,4.8,4.6,NC,Dealer,5
866,2017,Honda,Civic LX,Used,16997.0,4.1,1919,Cosmic Blue Metallic,Gray,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,2HGFC2F56HH501032,K070,70147.0,4.7,4.7,4.8,4.8,4.8,4.8,SC,Dealer,4
868,2016,Honda,CR-V SE,Used,17795.0,4.6,31,Brown,Black,AWD,Gasoline,Automatic CVT,2.4L I4 16V GDI DOHC,2HKRM4H49GH652722,1190184052,114750.0,4.6,4.5,4.6,4.6,4.7,4.7,NC,Dealer,4
869,2022,Honda,Accord Sport,New,34755.0,4.9,2757,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,Automatic,Intercooled Turbo Regular Unleaded I-4 2.0 L/122,1HGCV2F33NA025053,H45227,0.0,5.0,5.0,5.0,5.0,5.0,5.0,FL,Dealer,4
870,2022,Honda,Accord Sport 1.5T,New,28652.0,4.8,1277,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F3XNA090248,H090248,3.0,5.0,5.0,5.0,5.0,5.0,5.0,VA,Dealer,4
871,2023,Honda,CR-V EX-L,New,34904.0,4.8,1277,Canyon,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H78PH401755,H401755,5177.0,5.0,5.0,5.0,4.0,4.0,5.0,VA,Dealer,4
874,2023,Honda,HR-V LX,New,24895.0,5.0,2068,Modern Steel Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,3CZRZ1H31PM713573,230056,4.0,4.0,5.0,4.0,5.0,5.0,5.0,MD,Dealer,5
875,2022,Honda,Accord Sport 1.5T,New,30470.0,5.0,2321,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F34NA118867,H224924,49.0,5.0,5.0,5.0,5.0,5.0,5.0,DE,Dealer,5
877,2023,Honda,HR-V EX-L,New,30645.0,4.7,2504,Crystal Black Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,3CZRZ2H70PM725156,173760,0.0,4.0,5.0,4.0,5.0,5.0,5.0,PA,Dealer,4
878,2023,Honda,CR-V EX,New,34250.0,4.8,1560,Platinum White Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARS4H4XPE004850,H30127,6.0,5.0,5.0,5.0,4.0,4.0,5.0,PA,Dealer,4
879,2023,Honda,Ridgeline Black Edition,New,50820.0,4.8,1560,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F81PB014486,H30149,5.0,5.0,4.8,4.8,4.2,5.0,5.0,PA,Dealer,4
880,2022,Honda,Accord Hybrid Sport,New,32560.0,4.4,124,Platinum White Pearl,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F2XNA034636,NA034636,1.0,4.9,5.0,5.0,4.9,4.9,5.0,PA,Dealer,4
881,2022,Honda,Accord Sport 2.0T,New,35150.0,5.0,1571,Sonic Gray Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F32NA024878,H221464,10.0,5.0,5.0,5.0,5.0,5.0,5.0,NJ,Dealer,5
882,2022,Honda,Accord Hybrid Sport,New,32560.0,4.2,1578,Sonic Gray Pearl,Black,Front-wheel Drive,Hybrid,Variable,Gas/Electric I-4 2.0 L/122,1HGCV3F26NA046038,2221131,3.0,4.9,5.0,5.0,4.9,4.9,5.0,NJ,Dealer,4
883,2022,Honda,Accord Sport 2.0T,New,35150.0,4.9,3078,Still Night Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F39NA019757,NA019757,10.0,5.0,5.0,5.0,5.0,5.0,5.0,NJ,Dealer,4
884,2023,Honda,CR-V EX-L,New,36900.0,5.0,3634,Platinum White Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RS4H79PL002570,64375,1.0,5.0,5.0,5.0,4.0,4.0,5.0,NJ,Dealer,5
885,2022,Honda,Pilot Sport,New,41375.0,4.8,733,Lunar Silver Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H31NB070165,220547N,5.0,5.0,5.0,5.0,5.0,5.0,5.0,NY,Dealer,4
886,2023,Honda,CR-V Hybrid Sport Touring,New,40240.0,4.8,1037,Radiant Red Metallic,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H90PH801368,230119,10.0,5.0,3.0,4.0,4.0,5.0,5.0,CT,Dealer,4
887,2022,Honda,CR-V EX-L,New,34225.0,4.8,830,Crystal Black Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRW2H82NH620418,220203,2.0,4.9,4.8,4.7,4.8,4.7,4.9,CT,Dealer,4
888,2022,Honda,CR-V EX-L,New,34620.0,4.8,830,Platinum White Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRW2H85NH621661,220215,3.0,4.9,4.8,4.7,4.8,4.7,4.9,CT,Dealer,4
889,2022,Honda,HR-V EX-L,New,29790.0,4.4,1000,White,Black,All-wheel Drive,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,3CZRU6H72NM756301,L220671,6.0,3.8,3.2,3.6,3.6,4.2,4.2,NY,Dealer,4
890,2023,Honda,CR-V Hybrid Sport Touring,New,39845.0,4.9,1559,Lunar Silver Metallic,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H99PH800607,230081,15.0,5.0,3.0,4.0,4.0,5.0,5.0,CT,Dealer,4
892,2023,Honda,CR-V Hybrid Sport Touring,New,39845.0,4.3,583,Lunar Silver,–,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H97PH801495,H230044,3.0,5.0,3.0,4.0,4.0,5.0,5.0,NH,Dealer,4
893,2023,Honda,CR-V Hybrid Sport Touring,New,40850.0,4.9,435,White,Gray,All-wheel Drive,Hybrid,electronic continuously variable,4 Cylinder Engine,7FARS6H94PE003653,H003653,21.0,5.0,3.0,4.0,4.0,5.0,5.0,MA,Dealer,4
894,2022,Honda,CR-V EX-L,New,33575.0,4.9,435,Blue,B-593M/BLACK,All-wheel Drive,Gasoline,continuously variable w/sport mode,4 Cylinder Engine,7FARW2H85NE007681,40749-08,14499.0,4.9,4.8,4.7,4.8,4.7,4.9,MA,Dealer,4
895,2023,Honda,Ridgeline RTL-E,New,45800.0,4.6,1480,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F78PB011950,PB011950,5.0,5.0,4.8,4.8,4.2,5.0,5.0,MA,Dealer,4
896,2023,Honda,CR-V EX-L,New,36531.0,4.6,1480,Platinum White Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H75PH400918,PH400918,3.0,5.0,5.0,5.0,4.0,4.0,5.0,MA,Dealer,4
897,2023,Honda,CR-V Hybrid Sport Touring,New,40240.0,5.0,1337,Urban Gray Pearl,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H97PH801111,H230160,6.0,5.0,3.0,4.0,4.0,5.0,5.0,MA,Dealer,5
899,2022,Honda,Pilot EX-L,New,43605.0,4.6,1486,Modern Steel Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H56NB088923,HH150907,100.0,5.0,5.0,5.0,5.0,5.0,5.0,ME,Dealer,4
900,2022,Honda,Accord Sport SE,New,31960.0,5.0,9,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F48NA102969,00821638,3.0,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer,5
901,2023,Honda,HR-V EX-L,New,29145.0,4.6,9,Milano Red,–,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,3CZRZ1H73PM723699,00830212,5.0,4.0,5.0,4.0,5.0,5.0,5.0,CA,Dealer,4
902,2022,Honda,CR-V EX-L,New,35040.0,4.9,5490,Platinum White Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARW2H82NE050651,22N289,4.0,4.9,4.8,4.7,4.8,4.7,4.9,CA,Dealer,4
904,2022,Honda,Passport TrailSport,New,44660.0,4.9,879,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H66NB022313,NB022313,1.0,5.0,5.0,4.9,5.0,4.9,5.0,CA,Dealer,4
